id,user_bg_color,user_followers,text,user_description,created,user_location,coordinates,id_str,user_name,user_created,retweet_count,geo
1,C0DEED,889,Why hackers are increasingly targeting electronic health records https://t.co/iofKQ9bgDZ #Security in #Healthcare,🗣#Opines on #Healthcare by @OpineMediaGroup (OMG) - Focus is on technology in healthcare. Open to all - Submit content to oh@pr2com.com,2017-04-04T02:04:08,,,849080112473616384,OpineHEALTH,2015-02-14T21:43:55,0,
2,FFFFFF,767156,"Trump aides, lawmakers hold talks to revive healthcare bill https://t.co/tEccoTyGu5",The official space of Channel NewsAsia - the source of breaking news from Asia and the world. We want to hear from you. Comments and news tips are welcome.,2017-04-04T02:04:09,Singapore,,849080117133553665,ChannelNewsAsia,2009-05-07T09:14:43,0,
3,C0DEED,314,"dlvr -  Trump aides, lawmakers hold talks to revive healthcare bill https://t.co/BiE6dvTUE0",,2017-04-04T02:04:10,,,849080120828624897,chuhaizhou,2011-06-07T03:31:38,0,
4,C0DEED,469,"Trump aides, lawmakers hold talks to revive healthcare bill https://t.co/NNrjiVaih3","Get fun facts, news, promotions all from here. if you like news at your fingertips, pls RT and recommend friends to follow!",2017-04-04T02:04:11,,,849080125811544067,coolcoolinfo,2014-01-07T09:14:20,0,
5,F5F8FA,32,"Will These Tech Innovations Help Us Live Forever? - https://t.co/d89Cex0FLm

#casugol #healthcare #techtrends2017 #oracle #google #paypal","A platform to receive career advice from leading industry professionals, acquire knowledge, skills and resources to pursue a career of their passion.",2017-04-04T02:04:13,Singapore,,849080131389976577,casugol,2016-12-15T07:16:27,0,
6,F5F8FA,915,"@dzsteph @Amy_Siskind @GOP Nothing more brazen than to try to take away healthcare, schoolmeals, meals on wheels, s… https://t.co/QU82FNiKV3","#TheResistance, MarineCorpsVet, Runner/ultra-marathoner, Democrat thru&thru",2017-04-04T02:04:14,,,849080137199104006,sunday_melissa,2016-04-29T13:56:11,0,
7,F5F8FA,195,@HillaryClinton You know before obamacare hospitals couldn't turn anyone away. Thanks for that you liberal idiots.,"There's no crying in baseball
#BDM #BlackDogsMatter",2017-04-04T02:04:14,United States,,849080137991823361,Cag_baseball,2015-12-18T15:36:09,0,
8,C0DEED,4696,3 Lessons Learned from the GOP’s Healthcare Reform Failure https://t.co/YR3tSuqnws,"https://www.facebook.com/epeakin

RSS http://feeds.feedburner.com/PoliticsIndependentNewsAndBlog  https://www.facebook.com/epeakin",2017-04-04T02:04:17,,,849080148418809856,wallmethzarare,2010-02-12T13:50:15,0,
9,C0DEED,720,"""There is basically no evidence that food labeling results in consumers’ making healthier choices about their food."" https://t.co/TbjzBAWw77","Law professor, student of many things. RT means agreement, disagreement, interest, mockery, or amusement, as the case may be.",2017-04-04T02:04:18,"Shenzhen, China",,849080152629927937,DouglasLevene,2013-04-22T23:04:21,0,
10,F5F8FA,31,My doctor is REFUSING to see me until I pay $152 so kind of them when I have precancerous cells. Thanks USA and your BS healthcare system!,🐾🌿🎶⚾️,2017-04-04T02:04:18,OHIO ,,849080153502339074,hdgrove,2017-03-12T04:05:53,0,
11,C0DEED,904,This #job might be a great fit for you: Per Visit Physical Therapist - https://t.co/37P17mCxGw #PhysicalTherapist #Healthcare #Hiring,Sharing the latest job openings at Johns Hopkins Medicine. Explore diverse career opportunities at one of the country’s most reputable health care institutions.,2017-04-04T02:04:20,"Baltimore, MD",,849080162863939584,HopkinsCareers,2012-04-27T17:15:15,0,
12,000000,36,"This #job might be a great fit for you: RN ED - https://t.co/A9gux1FtCY #RN #Emergency #Healthcare #Boston, MA… https://t.co/L2ne1Rdrz6","The East Boston Neighborhood Health Center provides easily accessible, high-quality health care to all who live and work in East Boston and area communities.",2017-04-04T02:04:21,"East Boston, MA",,849080164457873414,EBNHCcareers,2016-10-20T13:38:51,0,
13,0A32AB,113865,3 Mobile Solutions to Healthcare Industry Problems How new technolo... https://t.co/GAFFQKQAMk via @Entrepreneur https://t.co/0XioiXP0qt,Infuriatingly proud #NewYorker. #NewsJunkie | #News Curator | Extrovert | #Fashionista | #SocialMedia/#SEO pro | #Foodie |  I do smile a lot.  #FOLLOWBACK #MGWV,2017-04-04T02:04:22,"Croton-on-Hudson, NY",,849080169746894850,The_News_DIVA,2008-07-20T13:30:12,0,
