id,user_bg_color,user_followers,text,user_description,created,user_location,coordinates,id_str,user_name,user_created,retweet_count,geo
1,F5F8FA,244,I feel so bad for Danielle off greenleaf,,2017-03-30T04:14:48,"Michigan, USA",,847301056526655490,domi_ritchie,2016-06-28T20:01:30,0,
2,FADAC5,1024,Facts and #ChicagoPD and #LegionFX https://t.co/bqjN14AxJl,"Jealous ones still envy, got a couple real with me.",2017-03-30T04:14:54,,,847301083110137856,YourPointless,2010-04-11T05:06:26,0,
3,C0DEED,1129,Ready for Cookie and Lady Mae! #Empire #Greenleaf,"Storyteller, Communicator, Speaker, Workshop Leader, Lifelong Learner, World Traveler, Foodie, Fun and Adventure Enthusiast!",2017-03-30T04:14:58,"Sacramento, CA",,847301098754818048,larryhygh,2009-02-18T23:39:56,0,
4,B2DFDA,1141,"Vegan is a lie 🌹 makes you fat 🌹 can’t build muscle 🌹 farts smell like Gwyneth

#Greenleaf https://t.co/Q9cNheApvs","This is my proselytizing, bohemian entrepreneurialism built on progressivism, communitarian values, and ambitious self-promotion.",2017-03-30T04:15:16,Berlin,,847301173832933379,FRANK_J_MILES,2009-04-14T16:12:45,0,
5,000000,13418,"Throw🔙 Art Video🎨 Jhene Shakur Color Map 🔗https://t.co/XhbFeQiEYi🔗
#Greenleaf",21🍹| 216📍| DRL🐻| Bookworm📖| 📷: ArtBy.Chey| 👻: HerCheyKiss| iCartoon🖍| iPaint🖌| Future Art Teacher🦄 ⚪⚫⚪⚫⚪⚫↘Drawing 101: Lilo↙,2017-03-30T04:15:17,United States,,847301177570074628,KissyFaceEmoji,2015-10-18T23:55:15,0,
6,C0DEED,126,#GreenLeaf,"I'm Wife and Mother who puts God first , I'm strong  Beautiful smart , hard worker , pray warrior so much more my list runs longer#ROYALTYPRAYS #ROYALFAMILY",2017-03-30T04:15:26,"California, USA PasaAltadLA",,847301214001709056,lailatrenee1,2015-09-24T14:29:16,0,
7,FFFFFF,882787,#OWNTonight was hilarious! Thanks for chiming in with your comments and questions! Tune in next week for more fun!… https://t.co/g2GnyIjq0Q,,2017-03-30T04:16:06,,,847301383426424835,OWNTV,2010-08-23T23:50:28,0,
8,000000,5,"#Greenleaf
|
Ten Egyptian troops, 15 extremists killed by in Sinai clashes
|
https://t.co/EoV3VmtIlu
|
https://t.co/M9PPKu7Rot",Truly.. Love you all :),2017-03-30T04:16:34,"University Heights, OH",,847301502418919426,TrustOurNews,2017-03-08T09:31:10,0,
9,642D8B,76721,@OWNTV thank you for addressing abuse and homophobia in a way that helps people realize thar they are not alone.… https://t.co/Aqe5nSssJb,"Award winning motivational speaker/children's entertainer ❤😀
World Changer!",2017-03-30T04:16:54,Canada,,847301583251447811,saidat2motivate,2011-06-08T15:37:00,0,
10,F5F8FA,169,Lynn Whitfield Promises ‘Greenleaf’ Will Leave You Speechless https://t.co/f3NZTYwpTF,"Baltimore’s best variety of R&B: Home of the Tom Joyner, April Watts, D.L. Hughley & LaDawn Black shows.",2017-03-30T04:17:07,"Baltimore, MD",,847301640688287745,magicbaltimore,2016-07-19T15:38:26,0,
11,F5F8FA,0,"Benefits Of Nuts
#Greenleaf

https://t.co/1QFkPnxNle",1,2017-03-30T04:17:39,"Salt Lake City, UT",,847301771391148032,ThelmaAMyers1,2017-02-22T11:50:19,0,
12,EDECE9,1645,Great show! So much authenticity! https://t.co/cDxLrOy0yE,"Author, Chaplain, Entrepreneur, Preacher, Publisher",2017-03-30T04:17:45,"Irvington, NJ",,847301799346176002,Dr_JAChillis,2009-02-06T21:16:52,0,
13,EBEBEB,481,@jasondirden Hitting up lottery winners?! Pastor Skanks is not living up to the shadiness of his name. Somebody should be pimped. #Greenleaf,Houstonatlantanewyork,2017-03-30T04:17:57,Houston/New York,,847301850516799489,XeMurray,2009-03-10T17:56:23,0,
14,0BE0BD,1830,GiGi talks too much to this reporter boyfriend #greenleaf,"I get under bitches skin
they should call me IV!
Fahtyma ❤s Hassan",2017-03-30T04:18:08,Somewhere Minding MY Business,,847301895844540416,Slenderroni,2011-04-01T03:42:43,0,
15,000000,1307,I just finished season one of Greenleaf&gt;&gt;,,2017-03-30T04:18:55,"Birmingham, AL",,847302093429800960,beetaylora,2014-09-19T21:34:10,0,
16,C0DEED,440,When Grace took that bat to Mack's car #greenleaf https://t.co/rnwAFpPSqC,It's the Fernando show,2017-03-30T04:19:02,"Missouri City,Texas",,847302121045188612,Fernanaberry,2009-11-15T17:54:01,0,
