id,user_bg_color,user_followers,text,user_description,created,user_location,coordinates,id_str,user_name,user_created,retweet_count,geo
1,C0DEED,6,"@Wenay_Aradhya Making them stronger will help in controlling population explosion, reduce poverty &amp; eventually madrasa system will decline",Software Engineer | Troller,2017-04-04T19:20:14,"Indore, India",,849340853604712448,shriabhishekrai,2015-08-12T06:03:16,0,
2,F5F8FA,14,St. Petersburg metro attack was carried out by a suicide bomber... https://t.co/SofWFTVno4 #jmm208,University of Miami freshman majoring in Broadcast Journalism,2017-04-04T19:20:14,"Coral Gables, FL",,849340855039209474,cbl52_christian,2016-08-23T20:52:34,0,
3,C0DEED,94822,The Muslima Romantic Dilemma   #petersburg   #london #londonattack #tcot  https://t.co/BRYa979oFi https://t.co/BTrfEXs68x,Author and independent researcher focused on Islam based in Australia,2017-04-04T19:20:15,Australia,,849340857601884165,PeterTownsend7,2012-09-16T05:20:05,0,
4,C0DEED,901,غضب من المانيا بسبب رفضها اضاءة الوان علم روسيا في بوابة براندين بيرج كرد فعل غاضب  ربما تجاه ما فعلته في سوريا ( ا… https://t.co/eBXn8rJnPb,University of London - SOAS - MA Art - Islamic studies الرتويت في كل احوالها لا تعني الموافقه,2017-04-04T19:20:15,,,849340858759602178,dania_amialksa,2012-07-29T02:08:26,0,
5,C0DEED,20485,"04-04 SAINT-PETERSBURG, RUSSIA - APRIL 4: Train driver Alexander... #saintlaurentdupape https://t.co/v4C7ysw8Ss #saintlaurentdupape",I'm always there for girls to give them advice and when I try to talk to them all I get is the cold shoulder.,2017-04-04T19:20:20,Idaho,,849340878623821824,tanyaqiin,2014-07-10T15:55:33,0,
6,000000,3465,London News Search (Body found in booby-trapped home after explosion) 1 London - https://t.co/VRNAZNUjY6,1 London News London Search London Reviews Bars Pubs Restaurants Hotels Businesses,2017-04-04T19:20:22,"London, England",,849340886676893696,1LondonNet,2015-06-20T15:39:00,0,
7,C0DEED,53,"Berliners, Parisians Slam Cities Decision Not to Mark St. Petersburg Tragedy https://t.co/oBr2eVAE9D",,2017-04-04T19:20:22,,,849340887347941376,ozgurzeren,2015-01-29T16:57:57,0,
8,F7913B,220627,Likely suspect in St Petersburg attack is Kyrgyz-born Russian citizen https://t.co/emI0Lb9Akd https://t.co/aNW17vV97h,Local. Vocal. Social. Also check out @TNPSports,2017-04-04T19:20:24,Singapore,,849340895342325761,thenewpaper,2009-04-23T08:08:48,0,
9,F5F8FA,848,Autorităţile ruse nu exclud posibilitatea ca bomba de la Sankt-Petersburg să fi explodat accidental - Mediafax…,"Web Socializing. This is unofficial account, I spreading the news...",2017-04-04T19:20:24,Europe,,849340896504156161,etdbrief_ro_1,2016-08-06T06:16:02,0,
10,000000,105,les victimes du terrorisme sont classifiés selon le lieu des crimes. https://t.co/ovOvwnyhUL,professeur à l'université et journaliste,2017-04-04T19:20:25,Alger                         ,,849340900593500160,BenmesbahK,2016-01-29T12:38:13,0,
11,ACDED6,472,"Manuring horse: ""#TerrorRussia needs help!"" Ask #Kadyrov. https://t.co/e7X6UagyWt",,2017-04-04T19:20:26,,,849340906826330117,ollejos,2011-09-05T07:30:40,0,
12,C0DEED,16623,"⒈ SOSMA
⒉ #RAWaftermania
⒊ St Petersburg
⒋ #ARMYSelcaDay
⒌ Russian

2017/4/5 03:16 MYT #trndnl https://t.co/3ZpGNCZMf9",Information about Twitter's #TrendingTopics in Malaysia — #trndnl,2017-04-04T19:20:31,Malasia,"{""type"": ""Point"", ""coordinates"": [114.4017, 3.9451]}",849340924312334340,trendinaliaMY,2013-04-22T16:41:22,0,"{""type"": ""Point"", ""coordinates"": [3.9451, 114.4017]}"
13,F5F8FA,84,‘#GoingHome’: How St. Petersburg united in face of terrorism https://t.co/EN49yI9B2p #Breaking #Trending #News #Politics #Defense #Crisis,"Your news for the end of times aggregated from various sources (part of DVNET via @Dvolatility). Also follow @USGovReport, @DistressedVol...",2017-04-04T19:20:33,United States,,849340934882025477,EndTimesSynapse,2017-02-22T23:04:12,0,
14,000000,384,"O 22χρονος Ακμπαρζόν Τζαλίλοφ ο δράστης της επίθεσης στο ρωσικό μετρό https://t.co/LI3thPhm2I
#SaintPetersburgAttack #Saint Petersburg",,2017-04-04T19:20:34,,,849340937184718849,palmografos,2014-11-26T16:32:15,0,
15,FFFFFF,7367,"Le bilan d'Emmanuel Hollande c'est l'explosion de la dette publique, de la dépense publique et des impôts ! https://t.co/2DQWXkdDtI","Parce qu'il ridiculise le pays, paralyse l'économie, l'investissement et le travail. Et surtout parce que les Français ne veulent plus de lui #HollandeDégage",2017-04-04T19:20:34,,,849340940011679749,Degage_Hollande,2013-07-16T13:06:51,0,
16,000000,47,"Al menos once muertos en explosión en metro de San Petersburgo, Rusia
https://t.co/jekTXtQJkh #noticias… https://t.co/tlOdD2vLlV","“Lo que es útil para México, es bueno para La Opinión”",2017-04-04T19:20:34,Hidalgo 90 Esq. Manuel Rodrígu,,849340939814539267,LaOpinion_Mina,2017-03-15T03:26:18,0,
17,C0DEED,218,The terrorists have poked a leopard's hind quaters &amp; shld be prepared for Putin's reaction https://t.co/wfKUevpP4R,Human Resource Management Consultant,2017-04-04T19:20:37,Kampala- Uganda,,849340950644219904,MoSsesanga,2014-02-26T09:55:14,0,
18,C0DEED,49,"Facts on Zionism and Occupation of Palestine-Alison Weir:Founder of https://t.co/YSUzswd4Jg

17 min

https://t.co/hMjNYFBIYQ
""St Petersburg""",,2017-04-04T19:20:38,,,849340957300592640,abualqasim30,2012-12-12T21:59:49,0,
19,C6E2EE,52,"Po wybuchu w #Petersburg.u, ani wieża Eiffla, ani Łuk Triumfalny, ani Brama Brandenburska nie zostały zwyczajowo oświetlone (1)",,2017-04-04T19:20:40,"Paris, France",,849340962333745152,kurierparyski,2013-09-08T09:00:28,0,
20,F5F8FA,62,😮 St Petersburg Top 10 St. Petersburg (Eyewitness Top 10 Travel Guide) ⚡🌟➡️  https://t.co/7wfmKkM4ye,"♥♥♥Y LOVE YOU, Facebook ♥➡️  https://goo.gl/bwmS9o?s9fae",2017-04-04T19:20:41,,,849340966670663680,sandraseli2,2017-03-19T18:02:04,0,
21,F5F8FA,14023,"Luanke Explosion-proof Screen Film for iPhone 7 Plus, only $3.89 #iphone https://t.co/szvWM6BNKr https://t.co/ftiZIbpxdo","We're Chasing The Best Deals, @mrchnds Delivers The Deals, Posts May Contain Affiliate Ads, All Great Deals.",2017-04-04T19:20:43,,,849340978628612099,mrchnds,2016-06-01T01:38:53,0,
22,F5F8FA,29,"Banjir Protes, Menara Eiffel Akhirnya Dipadamkan untuk St. Petersburg https://t.co/oILmXtKL8t #kotametro #metrolampung",,2017-04-04T19:20:46,"Kota Metro, Lampung",,849340988304838661,metronews2day,2016-11-23T03:06:59,0,
23,C0DEED,730,"A man reacts next to a memorial site for the victims of a blast in St. Petersburg metro, at Tekhnologicheskiy insti… https://t.co/6NADme0Efn",,2017-04-04T19:20:48,,,849340996307607553,DukaKofi,2015-01-04T18:58:50,0,
24,000000,121,Trilliums! https://t.co/L8gkOap5wD,"Miniature horse farm established in '98. I am a Christian, mom, wife, conservative, survivor, writer, award-winning photographer, and equine conservationist.",2017-04-04T19:20:48,,,849340997758844928,Barefootminis,2016-04-03T17:44:23,0,
25,0099B9,984,St. Petersburg subway suicide bomb suspect ID'd https://t.co/inwU1GYhOO,Aboriginal consultants working with others to help restore balance and harmony in our lives.  We love our culture!,2017-04-04T19:20:55,"Whitecap, SK",,849341028830257153,kakakaway,2009-05-27T16:42:11,0,
26,E0B064,336,Knew we would crash at the speed that we were going didn’t care if the explosion ruined me,"I make shit happen, call me a laxative.  kimmich es mi pastor, nada me faltará


Rayados 💙⚽",2017-04-04T19:20:56,,,849341030075961345,boonanyela,2010-02-06T22:32:31,0,
27,131516,82,"Explosive Device in Petersburg Metro Might Have Gone Off Accidentally - Source

https://t.co/hgNnzqQXui",We are primarily a news organization but we also indulge in preparation of many forms.,2017-04-04T19:20:56,"Illinois, USA",,849341030772166656,TheWatchmanNews,2014-10-09T17:22:36,0,
28,C0DEED,72,Russian police: suicide bomber believed to be behind St. Petersburg metro blast,,2017-04-04T19:20:57,,,849341036396761088,JeanMorenoLeon,2013-08-06T03:32:48,0,
29,F5F8FA,859,"https://t.co/Lds62Qk0tf St Petersburg 
Valdimir parle","Saint Michel Archange, 
défendez-nous dans le combat ; 
soyez notre secours contre la malice et les embûches du démon. 
Que Dieu lui fasse sentir son empire.",2017-04-04T19:21:08,Car là est ma continuelle stup,,849341081208721408,wolfverin35,2016-11-20T15:00:45,0,
30,000000,54,Anschlag in St. Petersburg: Putin muss sich neu erfinden https://t.co/NVeYcFo7hS,#Wirtschaft #Börse | @Domeniktvmedia | @DomeniktvNEWS | @DtvSport | @DtvFinanzen | @DtvSpezial | @DtvDiamant | @DtvWetter | @DtvPolitik | Domenik tv media 2017,2017-04-04T19:21:09,Deutschland,,849341084308307971,DtvWirtschaft,2016-10-01T09:40:48,0,
31,C0DEED,27,"Berlin: Für St. Petersburg leuchtet das Brandenburger Tor nicht | ZEIT ONLINE
https://t.co/H2rF9sOFR0
via @zeitonline🥀NICHT GUT #Russia 🥀",WELTFOLKLORE/COSTUME/FOLKLORE & POLITIC/PEUPLE/COUTUME/ETHNOGRAPIE,2017-04-04T19:21:09,wien,,849341086908678146,EWallnofer,2014-06-14T06:57:11,0,
32,F5F8FA,221,Blast on the St. Petersburg subway - VOA TV Ashna https://t.co/zJPA3UqTdI &gt;Blast on the St. Petersburg subway - VOA… https://t.co/SXUNFCxsuN,,2017-04-04T19:21:09,Afghanistan,,849341086497738752,NewsUpdatesAf,2016-09-30T12:55:25,0,
33,C0DEED,1289,St. Petersburg Bomber Said to Be Man From Kyrgyzstan; Death Toll Rises https://t.co/5bfHQK8wLT,Journalist - Reporter  . /.  Follow the info,2017-04-04T19:21:14,Athens - Nicosia,,849341108039675905,parishatzi,2011-09-05T08:25:54,0,
34,F5F8FA,185,"Rusya Müftüler Konseyi, St. Petersburg’taki terör saldırısını kınadı https://t.co/i9asoPpuzs https://t.co/nlDRuZqjAa",,2017-04-04T19:21:20,"Marmaris, Türkiye",,849341129933950976,MtvTelevizyonu,2017-01-03T15:52:46,0,
35,020812,920,#MarinePresidente  #Marine2017 #LeGrandDebat https://t.co/dVqd5ng7fI,"Father, Leader, Politics Enthusiast, Courier of Information, Confidante, Bush Craft Instructor and Security Officer",2017-04-04T19:21:20,"Brighton, England",,849341131754270721,stuartfirth1,2012-11-22T21:01:28,0,
36,B2DFDA,954,"St. Petersburg'da hava bugün güneşli ve ılıktı. Çok güzeldi. Rus arkadaşlarım, merak etme geçicidir dediler. :)",Research & teaching in cryptographic engineering and computer science.,2017-04-04T19:21:20,"Santa Barbara, California, USA",,849341133318651904,cetinkoc,2009-03-07T15:08:34,0,
37,F5F8FA,19,@abcactionnews first it was London terrorist attack then it was the Russia Metro explosion now is the gas chemicals in Syria,I am so cooooooool and I'm a YouTuber.,2017-04-04T19:21:22,"Tarpon Springs, FL",,849341140591620098,WaternRyan,2016-10-30T22:39:54,0,
38,8B542B,1399,St Petersburg bomb suspect identified as 22-year-old born in Kyrgyzstan https://t.co/Ixbxp234dz,journalist,2017-04-04T19:21:24,"New Delhi, India",,849341150196629505,muralidharreddy,2009-02-13T16:30:40,0,
39,F5F8FA,12,"St. Petersburg metro attack 'carried out by suicide bomber'
https://t.co/n50Xyv0zSM",,2017-04-04T19:21:32,,,849341183415525379,LindaWr08603003,2016-02-07T23:45:37,0,
40,000000,2694,Just think of the explosion in a certain part of Glasgow if James McLean signs for Celtic. 💥,"Opinionated football writer, ecommerce administrator, web content editor & social media aficionado.",2017-04-04T19:21:36,Glasgow,,849341200746393607,andymuirhd,2010-09-19T09:54:10,0,
41,000000,623,"An Actor's Explosion of Color in 650 Square Feet — House Tour:  Name: Karen Racicot, actor and ar.. #apartments https://t.co/r7Ktq8fLza",PRES® is a #homestaging & #redesign school with classroom & hands-on training to help you succeed in your own #smallbusiness.,2017-04-04T19:21:39,Campbell River,,849341212326842368,PresStaging,2009-06-16T20:14:20,0,
42,000000,54,David Garrett - Furious для Вадима (St.Petersburg 14.12.2016) https://t.co/jGF00cwy4K via @YouTube,la belleza esta en los ojos que la ven,2017-04-04T19:21:43,UK/Germany ,,849341226952384513,VonKirsten,2015-07-19T19:24:22,0,
43,C0DEED,7,I added a video to a @YouTube playlist https://t.co/XWm9u6MQ5Z Saint Petersburg Aerial https://t.co/bLJL0B6e5A / Аэросъемка СПб,,2017-04-04T19:21:43,,,849341226927239168,Chokobarokko,2009-11-27T15:37:50,0,
44,C0DEED,1182,The Latest: OSHA: Probe of boiler blast could take months https://t.co/QOtPt6bxJO,Reporter/Anchor KHQA-TV CBS and ABC. @LindenwoodU and #ChaminadeSTL graduate. @Cardinals fan.,2017-04-04T19:21:46,Quincy,,849341241389142020,KHQADavid,2014-10-15T19:02:17,0,
45,F5F8FA,90,"6 Ways Russia May Respond to St. Petersburg Bombing: Clarion Project, by Ryan… https://t.co/EoO5wKl4KH #islamophobia",#islamophobia #LOL #LMAO #Hahaha,2017-04-04T19:21:58,Mecca,,849341293083979782,IslamophobiaLOL,2016-04-12T11:00:48,0,
46,FFFFFF,1375,St Petersburg subway bombing suspect named as Akbarzhon Dzhalilov #Belfast https://t.co/7pVk4UOIpy https://t.co/hcEHbYeP1G,"Find your latest news about Belfast with just one click. Don’t miss out on anything happening in your profession .check
http://t.co/qKc7TMXeMB",2017-04-04T19:22:03,,,849341311731847168,belfast_nws,2014-02-16T11:03:04,0,
47,000000,112,"Trending in EU: Tel Aviv, Israel. The city hall is lit up with the Russian tricolor after the Saint Petersburg ter…… https://t.co/aITkQRMWGc",This is the official site for European Travels. If you would like to learn more and keep updated on European traveling deals visit http://on.fb.me/1fu1RsV,2017-04-04T19:22:06,Germany,,849341323291308035,fop2014,2015-06-22T18:59:44,0,
48,F5F8FA,2038,@TreasuryMog East Yorkshire #ambassacats are sending Healing Purrs to St Petersburg 🐈🐈🐈 #PurrsforPeace… https://t.co/f75Xlv7036,Hi We are 5 Rescue Cats adopted from cats protections Hull 😺😺 Privates in #ZSHQ 😻 #ruffriders 😼#Ambassacats for East Yorkshire,2017-04-04T19:22:05,"Hull, England",,849341322452508672,GingieCato,2016-09-04T14:52:15,0,
49,FFCC4D,2429,"Banjir Protes, Menara Eiffel Akhirnya Dipadamkan untuk St. Petersburg https://t.co/JgmeBaO6bh https://t.co/xhlIamt4N2",Cules Boy | ID LINE : Ahmadhusaini0987 | Keep Fucking Spirit,2017-04-04T19:22:07,"Banjarmasin, Indonesia",,849341328303509505,Us97ay,2012-04-07T04:29:23,0,
50,C0DEED,4044,"Banjir Protes, Menara Eiffel Akhirnya Dipadamkan untuk St. Petersburg https://t.co/VgrUNMQSEd","If you owe 100 dollars, then you are dizzy. But if you owe 100 million dollars, the bank was to be dizzy. :D",2017-04-04T19:22:07,TimLen,,849341330748846080,rizkylazuardito,2014-01-25T15:17:28,0,
51,DBE9ED,3222,"Banjir Protes, Menara Eiffel Akhirnya Dipadamkan untuk St. Petersburg https://t.co/yeqMp3ganX https://t.co/gN1eIrfFBV",Tweet Berita Terbaru dari Situs Terpopuler http://instagram.com/khaidilambi,2017-04-04T19:22:08,,,849341331172462593,khaidilambi,2009-12-13T10:07:51,0,
52,FFFFFF,1301,Stadhuis in Russische kleuren na aanslag in Sint-Petersburg - Gazet van Antwerpen #Antwerpen https://t.co/AAjiT2yKNr,Altijd binnen 1 oogopslag het allerlaatste nieuws uit Antwerpen. Mis vanaf nu helemaal niks meer.,2017-04-04T19:22:08,,,849341333093445632,antwerpen_news,2014-03-12T19:10:11,0,
53,C0DEED,429,I made this gif which I'm pretty happy about. Watch the real thing live at Midnight CET #Paris #TourEiffel https://t.co/QpeUgbHTrW,"@Euronews ""correspondent in London""- Web and TV journo. @KeeleUniversity Alum. Cycling, Rugby, #MCFC You know the drill: My views etc",2017-04-04T19:22:14,London,,849341357760151552,patricvk,2009-10-21T17:01:32,0,
54,131516,3191,"As Russia mourns St Petersburg attack, Europe shows little solidarity @CNNI https://t.co/o9OklvFEdF","Jester,'Master of the Revels', Fool on the Hill, vrije ziel, seeker of truth. Breaks occasionally through the 140 characters limit - https://t.co/Atn55hue9A",2017-04-04T19:22:15,Nederland,,849341364231950336,Revelsoffice,2010-06-02T15:30:15,0,
55,F5F8FA,221,Blast on the St. Petersburg subway - VOA TV Ashna https://t.co/zJPA3UqTdI https://t.co/SPdrvbe7dR,,2017-04-04T19:22:16,Afghanistan,,849341368489082882,NewsUpdatesAf,2016-09-30T12:55:25,0,
