id	sentiment_fake	state	rank
23	0.98	Maine	1
6	0.96	California	2
28	0.92	Mississippi	3
56	0.92	Wyoming	4
2	0.87	Alaska	5
8	0.84	Colorado	6
38	0.82	North Dakota	7
30	0.78	Montana	8
26	0.77	Michigan	9
53	0.63	Washington	10
13	0.6	Georgia	11
39	0.57	Ohio	12
33	0.56	New Hampshire	13
35	0.54	New Mexico	14
20	0.45	Kansas	15
50	0.45	Vermont	16
1	0.44	Alabama	17
34	0.38	New Jersey	18
32	0.37	Nevada	19
15	0.34	Hawaii	20
5	0.32	Arkansas	21
4	0.3	Arizona	22
46	0.28	South Dakota	23
44	0.26	Rhode Island	24
47	0.26	Tennessee	25
16	0.2	Idaho	26
18	0.17	Indiana	27
31	0.13	Nebraska	28
27	0.08	Minnesota	29
11	0.04	District of Columbia	30
60	0		0
64	0		0
66	0		0
68	0		0
69	0		0
70	0		0
78	0		0
19	-0.02	Iowa	31
24	-0.04	Maryland	32
21	-0.1	Kentucky	33
72	-0.13	Puerto Rico	34
42	-0.14	Pennsylvania	35
54	-0.23	West Virginia	36
10	-0.29	Delaware	37
25	-0.38	Massachusetts	38
41	-0.41	Oregon	39
49	-0.41	Utah	40
12	-0.47	Florida	41
22	-0.51	Louisiana	42
29	-0.53	Missouri	43
51	-0.55	Virginia	44
17	-0.56	Illinois	45
9	-0.6	Connecticut	46
40	-0.64	Oklahoma	47
48	-0.72	Texas	48
55	-0.79	Wisconsin	49
37	-0.81	North Carolina	50
45	-0.9	South Carolina	51
36	-1	New York	52
